date,portfolio_date,manager,stock,ticker,portfolio_percent,shares,recent_activity,reported_price,current_price,value
2025-06-23,2025-06-23,David Katz - Matrix Asset Advisors,SPDR Portfolio S&P  500 Growt,SPYG,0,3138,,0.03,80.31,
2025-06-23,2025-06-23,David Katz - Matrix Asset Advisors,Vanguard Small Cap ETF,VB,0,1169,,0.03,221.56,
2025-06-23,2025-06-23,David Katz - Matrix Asset Advisors,Technology Select Sect SPDR,XLK,0,1150,,0.03,206.09,
2025-06-23,2025-06-23,David Katz - Matrix Asset Advisors,Amphenol Corp.,APH,0,3056,,0.02,65.45,
2025-06-23,2025-06-23,David Katz - Matrix Asset Advisors,Compugen Ltd,CGEN,0,93833,,0.02,1.46,
2025-06-23,2025-06-23,David Katz - Matrix Asset Advisors,Ishares Russell 1000 ETF,IWB,0,0,,0.02,307.48,
2025-06-23,2025-06-23,David Katz - Matrix Asset Advisors,Philip Morris Intl.,PM,0,1362,Buy,0.02,158.59,
2025-06-23,2025-06-23,David Katz - Matrix Asset Advisors,Skyx Platforms Corp,SKYX,0,158333,,0.02,1.14,
2025-06-23,2025-06-23,David Katz - Matrix Asset Advisors,Marker Therapeutics Inc.,MRKR,0,15000,,1.2,18000.0,
2025-06-23,2025-06-23,David Rolfe - Wedgewood Partners,Taiwan Semiconductor S.A.,TSM,0,236813,,9.29,194.76,
2025-06-23,2025-06-23,David Rolfe - Wedgewood Partners,Meta Platforms Inc.,META,0,69553,,9.24,659.35,
2025-06-23,2025-06-23,David Rolfe - Wedgewood Partners,Alphabet Inc.,GOOGL,0,247928,,8.26,165.37,
2025-06-23,2025-06-23,David Rolfe - Wedgewood Partners,Apple Inc.,AAPL,0,165093,,7.06,212.33,
2025-06-23,2025-06-23,David Rolfe - Wedgewood Partners,Microsoft Corp.,MSFT,0,77161,,7.04,452.94,
2025-06-23,2025-06-23,David Rolfe - Wedgewood Partners,PayPal Holdings Inc.,PYPL,0,473775,,6.94,72.68,
2025-06-23,2025-06-23,David Rolfe - Wedgewood Partners,Visa Inc.,V,0,89688,,6.44,356.46,
2025-06-23,2025-06-23,David Rolfe - Wedgewood Partners,Copart Inc.,CPRT,0,488407,,6.14,62.42,
2025-06-23,2025-06-23,David Rolfe - Wedgewood Partners,Booking Holdings Inc.,BKNG,0,5811,,6.11,5216.83,
2025-06-23,2025-06-23,David Rolfe - Wedgewood Partners,Tractor Supply,TSCO,0,480065,,4.97,51.38,
2025-06-23,2025-06-23,David Rolfe - Wedgewood Partners,Motorola Solutions Inc.,MSI,0,56589,,4.73,415.2,
2025-06-23,2025-06-23,David Rolfe - Wedgewood Partners,CDW Corp.,CDW,0,115264,,4.4,189.36,
2025-06-23,2025-06-23,David Rolfe - Wedgewood Partners,United Rentals,URI,0,24829,Buy,3.57,713.36,
2025-06-23,2025-06-23,David Rolfe - Wedgewood Partners,S&P Global Inc.,SPGI,0,34091,,3.52,511.95,
2025-06-23,2025-06-23,David Rolfe - Wedgewood Partners,O'Reilly Automotive,ORLY,0,188895,,3.36,88.38,
2025-06-23,2025-06-23,David Rolfe - Wedgewood Partners,Edwards Lifesciences Corp.,EW,0,191818,,2.97,76.75,
2025-06-23,2025-06-23,David Rolfe - Wedgewood Partners,Old Dominion Freight Line,ODFL,0,82371,,2.85,171.65,
2025-06-23,2025-06-23,David Rolfe - Wedgewood Partners,Pool Corp.,POOL,0,30276,,1.88,309.02,
2025-06-23,2025-06-23,David Rolfe - Wedgewood Partners,United Health Group Inc.,UNH,0,10302,,0.64,308.0,
2025-06-23,2025-06-23,David Rolfe - Wedgewood Partners,iShares Russell 1000 Growth ETF,IWF,0,7588,,0.61,399.58,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Alibaba Group Holdings,BABA,0,9230000,,21.92,132.23,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Pinduoduo Inc.,PDD,0,4370000,,9.29,118.35,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Amazon.com Inc.,AMZN,0,2510000,,8.58,190.26,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,JD.com Inc.,JD,0,8050000,,5.95,41.12,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Meta Platforms Inc.,META,0,550000,,5.69,576.36,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Alphabet Inc. CL C,GOOG,0,2010000,,5.64,156.23,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Vistra Corp.,VST,0,2300000,,4.85,117.44,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Uber Technologies Inc.,UBER,0,3200000,,4.19,72.86,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Ishares China Large Cap ETF,FXI,0,5600000,,3.61,35.84,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,NRG Energy Inc.,NRG,0,2050000,,3.52,95.46,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Microsoft Corp.,MSFT,0,510000,,3.44,375.39,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Kraneshares Csi China Intern,KWEB,0,4000000,,2.51,34.91,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Lyft Inc.,LYFT,0,9000000,,1.92,11.87,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Oracle Corp.,ORCL,0,700000,,1.76,139.81,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Energy Transfer LP,ET,0,4957235,,1.66,18.59,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,United Health Group Inc.,UNH,0,175000,,1.65,523.75,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Deutsche Bank AG,DB,0,3750000,Buy,1.61,23.83,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Corning Inc.,GLW,0,1743629,,1.43,45.78,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Baidu Inc.,BIDU,0,775000,,1.28,92.03,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,L3Harris Technologies Inc.,LHX,0,300000,Buy,1.13,209.31,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Caesars Entertainment,CZR,0,2200000,,0.99,25.0,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,QUALCOMM Inc.,QCOM,0,350000,,0.97,153.61,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,ASML Holding NV,ASML,0,70000,,0.83,662.63,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Taiwan Semiconductor S.A.,TSM,0,270000,,0.81,166.0,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,KE Holdings Inc.,BEKE,0,1900000,,0.69,20.09,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Lam Research,LRCX,0,500000,,0.65,72.7,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Micron Technology Inc.,MU,0,400000,,0.62,86.89,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,NVIDIA Corp.,NVDA,0,300000,,0.58,108.38,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,MPLX LP,MPLX,0,578500,,0.56,53.52,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Wynn Resorts Ltd.,WYNN,0,320000,,0.48,83.5,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Las Vegas Sands Corp.,LVS,0,590000,,0.41,38.63,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Broadcom Inc.,AVGO,0,130000,Buy,0.39,167.43,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Chesapeake Energy Corp. CL B WTS,CHKEZ,0,117321,,0.22,105.25,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Chesapeake Energy Corp. WTS,CHKEL,0,65398,,0.12,98.78,
2025-06-23,2025-06-23,David Tepper - Appaloosa Management,Block Inc.,XYZ,0,75000,Buy,0.07,54.33,
2025-06-23,2025-06-23,Dennis Hong - ShawSpring Partners,Intuit Inc.,INTU,0,166936,,14.08,613.99,
2025-06-23,2025-06-23,Dennis Hong - ShawSpring Partners,nCino Inc.,NCNO,0,3651918,,13.78,27.47,
2025-06-23,2025-06-23,Dennis Hong - ShawSpring Partners,Procore Technologies Inc.,PCOR,0,1437331,,13.04,66.02,
2025-06-23,2025-06-23,Dennis Hong - ShawSpring Partners,monday.com Ltd.,MNDY,0,378711,,12.65,243.16,
2025-06-23,2025-06-23,Dennis Hong - ShawSpring Partners,CoStar Group Inc.,CSGP,0,1148302,,12.5,79.23,
2025-06-23,2025-06-23,Dennis Hong - ShawSpring Partners,Braze Inc A,BRZE,0,2373386,,11.77,36.08,
2025-06-23,2025-06-23,Dennis Hong - ShawSpring Partners,Shift4 Payments Inc. CL A,FOUR,0,898874,,10.09,81.71,
2025-06-23,2025-06-23,Dennis Hong - ShawSpring Partners,Hilton Worldwide Holdings,HLT,0,179612,,5.62,227.55,
2025-06-23,2025-06-23,Dennis Hong - ShawSpring Partners,Blend Labs Inc.,BLND,0,8911039,,4.1,3.35,
2025-06-23,2025-06-23,Dennis Hong - ShawSpring Partners,Vertex Inc.,VERX,0,490162,Buy,2.36,35.01,
2025-06-23,2025-06-23,Dodge & Cox,Charles Schwab Corp.,SCHW,0,60060735,,4.18,78.28,
2025-06-23,2025-06-23,Dodge & Cox,Fiserv Inc.,FI,0,20955000,,4.11,220.83,
2025-06-23,2025-06-23,Dodge & Cox,RTX Corp.,RTX,0,28791200,,3.39,132.46,
2025-06-23,2025-06-23,Dodge & Cox,CVS Health Corp.,CVS,0,48222894,,2.9,67.75,
2025-06-23,2025-06-23,Dodge & Cox,MetLife Inc.,MET,0,39223842,,2.8,80.29,
2025-06-23,2025-06-23,Dodge & Cox,Sanofi Aventis,SNY,0,56024524,,2.76,55.46,
2025-06-23,2025-06-23,Dodge & Cox,Wells Fargo,WFC,0,41699508,,2.66,71.79,
2025-06-23,2025-06-23,Dodge & Cox,Johnson Controls Intl. plc,JCI,0,35314017,,2.51,80.11,
2025-06-23,2025-06-23,Dodge & Cox,Charter Communications,CHTR,0,7455376,,2.44,368.53,
2025-06-23,2025-06-23,Dodge & Cox,Gilead Sciences,GILD,0,24346812,,2.43,112.05,
2025-06-23,2025-06-23,Dodge & Cox,Occidental Petroleum,OXY,0,54696940,,2.4,49.36,
2025-06-23,2025-06-23,Dodge & Cox,Bank of New York Mellon Corp.,BK,0,30390524,,2.27,83.87,
2025-06-23,2025-06-23,Dodge & Cox,Comcast Corp.,CMCSA,0,61809394,,2.03,36.9,
2025-06-23,2025-06-23,Dodge & Cox,GSK plc,GSK,0,58412777,,2.01,38.74,
2025-06-23,2025-06-23,Dodge & Cox,FedEx Corp.,FDX,0,9210955,,2.0,243.78,
2025-06-23,2025-06-23,Dodge & Cox,Microsoft Corp.,MSFT,0,5838500,,1.95,375.39,
2025-06-23,2025-06-23,Dodge & Cox,Capital One Financial,COF,0,11854335,,1.89,179.3,
2025-06-23,2025-06-23,Dodge & Cox,GE Aerospace,GE,0,10628300,,1.89,200.15,
2025-06-23,2025-06-23,Dodge & Cox,Amazon.com Inc.,AMZN,0,11006395,,1.86,190.26,
2025-06-23,2025-06-23,Dodge & Cox,Cigna Group,CI,0,5958272,,1.74,329.0,
2025-06-23,2025-06-23,Dodge & Cox,Anheuser-Busch InBev,BUD,0,30861366,,1.69,61.56,
2025-06-23,2025-06-23,Dodge & Cox,Humana Inc.,HUM,0,7180500,,1.69,264.6,
2025-06-23,2025-06-23,Dodge & Cox,Booking Holdings Inc.,BKNG,0,399030,,1.63,4606.91,
2025-06-23,2025-06-23,Dodge & Cox,Fidelity National Information Services,FIS,0,23515400,,1.56,74.68,
2025-06-23,2025-06-23,Dodge & Cox,Air Products & Chemicals,APD,0,5821951,,1.53,294.92,
2025-06-23,2025-06-23,Dodge & Cox,Norfolk Southern Corp.,NSC,0,6967100,,1.47,236.85,
2025-06-23,2025-06-23,Dodge & Cox,Baker Hughes Co.,BKR,0,32962766,,1.29,43.95,
2025-06-23,2025-06-23,Dodge & Cox,Zimmer Biomet Holdings,ZBH,0,12832700,,1.29,113.18,
2025-06-23,2025-06-23,Dodge & Cox,United Health Group Inc.,UNH,0,2757360,,1.28,523.75,
2025-06-23,2025-06-23,Dodge & Cox,Alphabet Inc. CL C,GOOG,0,9098960,,1.26,156.23,
2025-06-23,2025-06-23,Dodge & Cox,Alphabet Inc.,GOOGL,0,9186700,,1.26,154.64,
2025-06-23,2025-06-23,Dodge & Cox,Meta Platforms Inc.,META,0,2392800,,1.23,576.36,
2025-06-23,2025-06-23,Dodge & Cox,Goldman Sachs Group,GS,0,2426000,,1.18,546.29,
2025-06-23,2025-06-23,Dodge & Cox,Sun Communities Inc.,SUI,0,10244600,,1.17,128.64,
2025-06-23,2025-06-23,Dodge & Cox,Ashtead Group plc,ASHTF,0,23855300,,1.15,54.0,
2025-06-23,2025-06-23,Dodge & Cox,Haleon plc,HLNCF,0,123051121,,1.13,10.29,
2025-06-23,2025-06-23,Dodge & Cox,International Flavors & Fragrances Inc.,IFF,0,16276300,,1.12,77.61,
2025-06-23,2025-06-23,Dodge & Cox,Baxter International Inc.,BAX,0,35272400,,1.07,34.23,
2025-06-23,2025-06-23,Dodge & Cox,SBA Communications Corp.,SBAC,0,5316000,,1.04,220.01,
2025-06-23,2025-06-23,Dodge & Cox,T-Mobile US Inc.,TMUS,0,4327037,,1.03,266.71,
2025-06-23,2025-06-23,Dodge & Cox,TE Connectivity plc,TEL,0,8017275,,1.01,141.32,
2025-06-23,2025-06-23,Dodge & Cox,Williams Cos.,WMB,0,18963857,,1.01,59.76,
2025-06-23,2025-06-23,Dodge & Cox,Cognizant Technology Solutions,CTSH,0,14420777,,0.98,76.5,
2025-06-23,2025-06-23,Dodge & Cox,Fortive Corp.,FTV,0,14882600,Buy,0.97,73.18,
2025-06-23,2025-06-23,Dodge & Cox,Avantor arinc.,AVTR,0,66841215,,0.96,16.21,
2025-06-23,2025-06-23,Dodge & Cox,Novartis AG,NVS,0,9090008,,0.9,111.48,
2025-06-23,2025-06-23,Dodge & Cox,Cisco Systems,CSCO,0,16187887,,0.89,61.71,
2025-06-23,2025-06-23,Dodge & Cox,Regeneron Pharmaceuticals,REGN,0,1553785,,0.88,634.23,
2025-06-23,2025-06-23,Dodge & Cox,Dominion Energy Inc.,D,0,16663800,,0.83,56.07,
2025-06-23,2025-06-23,Dodge & Cox,Fox Corporation,FOXA,0,15405975,,0.78,56.6,
2025-06-23,2025-06-23,Dodge & Cox,ConocoPhillips,COP,0,8263834,,0.77,105.02,
2025-06-23,2025-06-23,Dodge & Cox,GE HealthCare Technologies Inc.,GEHC,0,10697266,,0.77,80.71,
2025-06-23,2025-06-23,Dodge & Cox,Roche Holding AG ADR,RHHBY,0,20706299,,0.76,41.15,
2025-06-23,2025-06-23,Dodge & Cox,LyondellBasell Industries,LYB,0,11197363,,0.7,70.4,
2025-06-23,2025-06-23,Dodge & Cox,American Electric Power,AEP,0,6676500,,0.65,109.27,
2025-06-23,2025-06-23,Dodge & Cox,HP Inc.,HPQ,0,25071556,,0.62,27.69,
2025-06-23,2025-06-23,Dodge & Cox,BioMarin Pharmaceutical Inc.,BMRN,0,9769625,,0.61,70.69,
2025-06-23,2025-06-23,Dodge & Cox,Carrier Global Corp.,CARR,0,10684079,,0.6,63.4,
2025-06-23,2025-06-23,Dodge & Cox,Molson Coors Beverage Co.,TAP,0,10264325,,0.56,60.87,
2025-06-23,2025-06-23,Dodge & Cox,Aegon Ltd,AEG,0,93846939,,0.55,6.59,
2025-06-23,2025-06-23,Dodge & Cox,Bank of America Corp.,BAC,0,14768500,,0.55,41.73,
2025-06-23,2025-06-23,Dodge & Cox,Alnylam Pharmaceuticals,ALNY,0,2168100,,0.52,270.02,
2025-06-23,2025-06-23,Dodge & Cox,Elanco Animal Health Inc.,ELAN,0,55341300,,0.52,10.5,
2025-06-23,2025-06-23,Dodge & Cox,Incyte Corp.,INCY,0,9705428,,0.52,60.55,
2025-06-23,2025-06-23,Dodge & Cox,Bristol-Myers Squibb,BMY,0,9416239,,0.51,60.99,
2025-06-23,2025-06-23,Dodge & Cox,Celanese Corp.,CE,0,10127698,,0.51,56.77,
2025-06-23,2025-06-23,Dodge & Cox,State Street Corp.,STT,0,5883700,,0.47,89.53,
2025-06-23,2025-06-23,Dodge & Cox,Gaming and Leisure Properties Inc.,GLPI,0,10141681,,0.46,50.9,
2025-06-23,2025-06-23,Dodge & Cox,Medtronic plc,MDT,0,5743900,,0.46,89.86,
2025-06-23,2025-06-23,Dodge & Cox,UBS AG,UBS,0,16339045,,0.44,30.63,
2025-06-23,2025-06-23,Dodge & Cox,Gap Inc.,GAP,0,22270572,,0.41,20.61,
2025-06-23,2025-06-23,Dodge & Cox,Neurocrine Biosciences Inc.,NBIX,0,3964000,,0.39,110.6,
2025-06-23,2025-06-23,Dodge & Cox,Taiwan Semiconductor S.A.,TSM,0,15800000,Buy,0.39,27.88,
2025-06-23,2025-06-23,Dodge & Cox,V.F. Corp.,VFC,0,27374300,,0.38,15.52,
2025-06-23,2025-06-23,Dodge & Cox,Honda Motor Co. Ltd.,HMC,0,15127900,,0.36,27.13,
2025-06-23,2025-06-23,Dodge & Cox,Fox Corporation CL B,FOX,0,7341765,,0.34,52.71,
2025-06-23,2025-06-23,Dodge & Cox,News Corp.,NWSA,0,10541090,,0.26,27.22,
2025-06-23,2025-06-23,Dodge & Cox,Coherent Corp.,COHR,0,3895100,,0.22,64.94,
2025-06-23,2025-06-23,Dodge & Cox,EchoStar Corp.,SATS,0,9301409,,0.21,25.58,
2025-06-23,2025-06-23,Duan Yongping - H&H International Investment,Apple Inc.,AAPL,0,34224181,,63.33,222.13,
2025-06-23,2025-06-23,Duan Yongping - H&H International Investment,Berkshire Hathaway CL B,BRK.B,0,3381300,,15.0,532.58,
2025-06-23,2025-06-23,Duan Yongping - H&H International Investment,Pinduoduo Inc.,PDD,0,7753900,,7.64,118.35,
2025-06-23,2025-06-23,Duan Yongping - H&H International Investment,Occidental Petroleum,OXY,0,13826100,,5.69,49.36,
2025-06-23,2025-06-23,Duan Yongping - H&H International Investment,Alibaba Group Holdings,BABA,0,3982130,,4.39,132.23,
2025-06-23,2025-06-23,Duan Yongping - H&H International Investment,Alphabet Inc. CL C,GOOG,0,1110600,,1.45,156.23,
2025-06-23,2025-06-23,Duan Yongping - H&H International Investment,Microsoft Corp.,MSFT,0,299200,Buy,0.94,375.39,
2025-06-23,2025-06-23,Duan Yongping - H&H International Investment,Walt Disney Co.,DIS,0,723000,,0.59,98.7,
2025-06-23,2025-06-23,Duan Yongping - H&H International Investment,NVIDIA Corp.,NVDA,0,645100,Buy,0.58,108.38,
2025-06-23,2025-06-23,Duan Yongping - H&H International Investment,Taiwan Semiconductor S.A.,TSM,0,271792,Buy,0.38,166.0,
2025-06-23,2025-06-23,Duan Yongping - H&H International Investment,Moderna Inc.,MRNA,0,83000,,0.02,28.35,
2025-06-23,2025-06-23,First Eagle Investment Management,Meta Platforms Inc.,META,0,3544871,,4.32,576.36,
2025-06-23,2025-06-23,First Eagle Investment Management,Oracle Corp.,ORCL,0,12283181,,3.63,139.81,
2025-06-23,2025-06-23,First Eagle Investment Management,HCA Healthcare Inc.,HCA,0,4522101,,3.3,345.55,
2025-06-23,2025-06-23,First Eagle Investment Management,Imperial Oil Ltd.,IMO,0,21088357,,3.22,72.25,
2025-06-23,2025-06-23,First Eagle Investment Management,Willis Towers Watson plc,WTW,0,4431373,,3.16,337.95,
2025-06-23,2025-06-23,First Eagle Investment Management,Wheaton Precious Metals Corp.,WPM,0,18581472,,3.05,77.63,
2025-06-23,2025-06-23,First Eagle Investment Management,Philip Morris Intl.,PM,0,8984382,,3.01,158.73,
2025-06-23,2025-06-23,First Eagle Investment Management,Elevance Health Inc.,ELV,0,3241361,,2.98,434.96,
2025-06-23,2025-06-23,First Eagle Investment Management,Comcast Corp.,CMCSA,0,35414313,,2.76,36.9,
2025-06-23,2025-06-23,First Eagle Investment Management,Becton Dickinson,BDX,0,5517712,,2.67,229.06,
2025-06-23,2025-06-23,First Eagle Investment Management,Fomento Economico Mexicano,FMX,0,12644489,,2.61,97.58,
2025-06-23,2025-06-23,First Eagle Investment Management,Bank of New York Mellon Corp.,BK,0,13937536,,2.47,83.87,
2025-06-23,2025-06-23,First Eagle Investment Management,Schlumberger Ltd.,SLB,0,27927652,,2.47,41.8,
2025-06-23,2025-06-23,First Eagle Investment Management,Alphabet Inc. CL C,GOOG,0,7176775,,2.37,156.23,
2025-06-23,2025-06-23,First Eagle Investment Management,C.H. Robinson Worldwide,CHRW,0,10732177,,2.32,102.4,
2025-06-23,2025-06-23,First Eagle Investment Management,Exxon Mobil Corp.,XOM,0,8706337,,2.19,118.93,
2025-06-23,2025-06-23,First Eagle Investment Management,Taiwan Semiconductor S.A.,TSM,0,5645248,,1.98,166.0,
2025-06-23,2025-06-23,First Eagle Investment Management,SPDR Gold Trust,GLD,0,3145896,,1.91,287.28,
2025-06-23,2025-06-23,First Eagle Investment Management,Barrick Mining Corp.,B,0,45617874,,1.87,19.44,
2025-06-23,2025-06-23,First Eagle Investment Management,Medtronic plc,MDT,0,9815649,,1.86,89.86,
2025-06-23,2025-06-23,First Eagle Investment Management,Universal Health Services Inc.,UHS,0,4676718,,1.86,187.9,
2025-06-23,2025-06-23,First Eagle Investment Management,Newmont Corp.,NEM,0,17584321,,1.79,48.28,
2025-06-23,2025-06-23,First Eagle Investment Management,Colgate-Palmolive,CL,0,8719683,,1.73,93.7,
2025-06-23,2025-06-23,First Eagle Investment Management,Ambev S.A.,ABEV,0,341577145,,1.68,2.33,
2025-06-23,2025-06-23,First Eagle Investment Management,Berkshire Hathaway CL A,BRK.A,0,0,,1.54,798441.89,
2025-06-23,2025-06-23,First Eagle Investment Management,Agnico-Eagle Mines Ltd.,AEM,0,6535053,,1.5,108.36,
2025-06-23,2025-06-23,First Eagle Investment Management,Equity Residential,EQR,0,9302639,,1.41,71.58,
2025-06-23,2025-06-23,First Eagle Investment Management,Texas Instruments,TXN,0,3630335,,1.38,179.7,
2025-06-23,2025-06-23,First Eagle Investment Management,Expeditors Int'l,EXPD,0,5361717,,1.36,120.25,
2025-06-23,2025-06-23,First Eagle Investment Management,Salesforce.com,CRM,0,2369940,,1.34,268.36,
2025-06-23,2025-06-23,First Eagle Investment Management,Nov Inc.,NOV,0,38239372,,1.23,15.22,
2025-06-23,2025-06-23,First Eagle Investment Management,Analog Devices,ADI,0,2854306,,1.22,201.67,
2025-06-23,2025-06-23,First Eagle Investment Management,Nutrien Ltd.,NTR,0,11640901,,1.22,49.67,
2025-06-23,2025-06-23,First Eagle Investment Management,American Express,AXP,0,2105274,,1.2,269.05,
2025-06-23,2025-06-23,First Eagle Investment Management,Royal Gold Inc.,RGLD,0,3412401,,1.18,163.51,
2025-06-23,2025-06-23,First Eagle Investment Management,Dollar General,DG,0,6069991,,1.13,87.93,
2025-06-23,2025-06-23,First Eagle Investment Management,Alphabet Inc.,GOOGL,0,3340713,,1.09,154.64,
2025-06-23,2025-06-23,First Eagle Investment Management,Franco Nevada Corp.,FNV,0,3219191,,1.07,157.31,
2025-06-23,2025-06-23,First Eagle Investment Management,PPG Industries,PPG,0,4588481,,1.06,109.35,
2025-06-23,2025-06-23,First Eagle Investment Management,Cummins Inc.,CMI,0,1545364,,1.02,313.44,
2025-06-23,2025-06-23,First Eagle Investment Management,Weyerhaeuser Co.,WY,0,14403091,,0.89,29.28,
2025-06-23,2025-06-23,First Eagle Investment Management,Fidelity National Financial Inc.,FNF,0,6092850,,0.84,65.08,
2025-06-23,2025-06-23,First Eagle Investment Management,Bio-Rad Laboratories Inc.,BIO,0,1566190,,0.81,243.56,
2025-06-23,2025-06-23,First Eagle Investment Management,U.S. Bancorp,USB,0,8891198,,0.79,42.22,
2025-06-23,2025-06-23,First Eagle Investment Management,Walt Disney Co.,DIS,0,3476401,,0.72,98.7,
2025-06-23,2025-06-23,First Eagle Investment Management,Noble Corp.,NE,0,12188599,,0.61,23.7,
2025-06-23,2025-06-23,First Eagle Investment Management,Charter Communications,CHTR,0,768911,,0.6,368.53,
2025-06-23,2025-06-23,First Eagle Investment Management,IPG Photonics Corp.,IPGP,0,4508232,,0.6,63.14,
2025-06-23,2025-06-23,First Eagle Investment Management,ONEOK Inc.,OKE,0,2710917,,0.57,99.22,
2025-06-23,2025-06-23,First Eagle Investment Management,Deere & Co.,DE,0,530173,,0.53,469.35,
2025-06-23,2025-06-23,First Eagle Investment Management,BXP Inc.,BXP,0,3636733,,0.52,67.19,
2025-06-23,2025-06-23,First Eagle Investment Management,Microsoft Corp.,MSFT,0,659693,,0.52,375.39,
2025-06-23,2025-06-23,First Eagle Investment Management,Compania Cervecerias Unidas SA,CCU,0,15892350,,0.51,15.2,
2025-06-23,2025-06-23,First Eagle Investment Management,Extra Space Storage Inc.,EXR,0,1616049,,0.51,148.49,
2025-06-23,2025-06-23,First Eagle Investment Management,Brown & Brown Inc.,BRO,0,1921699,,0.5,124.4,
2025-06-23,2025-06-23,First Eagle Investment Management,DENTSPLY SIRONA Inc.,XRAY,0,14438975,,0.46,14.94,
2025-06-23,2025-06-23,First Eagle Investment Management,Douglas Emmett Inc.,DEI,0,13261676,,0.45,16.0,
2025-06-23,2025-06-23,First Eagle Investment Management,Flowserve Corp.,FLS,0,3986791,,0.41,48.84,
2025-06-23,2025-06-23,First Eagle Investment Management,International Flavors & Fragrances Inc.,IFF,0,2449689,,0.4,77.61,
2025-06-23,2025-06-23,First Eagle Investment Management,Ross Stores Inc.,ROST,0,1477656,,0.4,127.79,
2025-06-23,2025-06-23,First Eagle Investment Management,Carlisle Companies,CSL,0,548101,Buy,0.39,340.5,
2025-06-23,2025-06-23,First Eagle Investment Management,Alamos Gold Inc.,AGI,0,6398366,,0.36,26.72,
2025-06-23,2025-06-23,First Eagle Investment Management,Kinross Gold Corp.,KGC,0,11787211,,0.31,12.61,
2025-06-23,2025-06-23,First Eagle Investment Management,Kraft Heinz Co.,KHC,0,4874718,,0.31,30.43,
2025-06-23,2025-06-23,First Eagle Investment Management,Gold Fields Ltd.,GFI,0,6148502,,0.29,22.09,
2025-06-23,2025-06-23,First Eagle Investment Management,MAG Silver Corp.,MAG,0,7791250,,0.25,15.21,
2025-06-23,2025-06-23,First Eagle Investment Management,AngloGold Ashanti Ltd.,AU,0,2501368,,0.2,37.12,
2025-06-23,2025-06-23,First Eagle Investment Management,Orla Mining Ltd,ORLA,0,8040945,,0.16,9.34,
2025-06-23,2025-06-23,First Eagle Investment Management,Enterprise Products Partners LP,EPD,0,1651887,,0.12,34.14,
2025-06-23,2025-06-23,First Eagle Investment Management,NovaGold Resources,NG,0,18231042,,0.11,2.92,
2025-06-23,2025-06-23,First Eagle Investment Management,British American Tobacco plc,BTI,0,1010815,,0.09,41.37,
2025-06-23,2025-06-23,First Eagle Investment Management,B2Gold Corp.,BTG,0,12842101,,0.08,2.84,
2025-06-23,2025-06-23,First Eagle Investment Management,Shell plc,SHEL,0,495132,,0.08,73.28,
2025-06-23,2025-06-23,First Eagle Investment Management,Unilever PLC,UL,0,636970,,0.08,59.55,
2025-06-23,2025-06-23,First Eagle Investment Management,Coca-Cola FEMSA S A CV,KOF,0,356823,,0.07,91.29,
2025-06-23,2025-06-23,First Eagle Investment Management,RPM International Inc.,RPM,0,298849,,0.07,115.68,
2025-06-23,2025-06-23,First Eagle Investment Management,CAE Inc.,CAE,0,942214,,0.05,24.59,
2025-06-23,2025-06-23,First Eagle Investment Management,Haleon Plc ADR,HLN,0,2488938,,0.05,10.29,
2025-06-23,2025-06-23,First Eagle Investment Management,Lloyds TSB Grp Plc ADR,LYG,0,6203638,,0.05,3.82,
