manager,concentrated_positions,top_tickers,total_portfolio_pct,avg_position_size,largest_position,total_value
Francois Rochon - Giverny Capital,7,"BRK.B, META, AME, HEI.A, PGR, FI, V",44.28,6.33,9.88,0.0
Jensen Investment Management,6,"MSFT, MMC, AAPL, ACN, SYK, INTU",39.63,6.6,7.38,0.0
John Armitage - Egerton Capital,6,"AMZN, PGR, FI, MSFT, FLUT, CME",41.07,6.84,9.27,0.0
Alex Roepers - Atlantic Investment Management,6,"APTV, WFRD, GTLS, OSK, EMN, DAR",89.77,14.96,22.4,0.0
Christopher Bloomstran - Semper Augustus,6,"BRK.B, BRK.A, DG, KGC, DLTR, NEM",68.63,11.44,20.55,0.0
David Tepper - Appaloosa Management,6,"BABA, PDD, AMZN, JD, META, GOOG",57.07,9.51,21.92,0.0
David Abrams - Abrams Capital Management,6,"LOAR, LAD, ABG, SGI, GOOGL, CPNG",85.02,14.17,46.92,0.0
Bill Miller - Miller Value Partners,5,"LNC, NBR, BFH, GTN, QUAD",36.39,7.28,8.5,0.0
Bill & Melinda Gates Foundation Trust,5,"MSFT, BRK.B, WM, CNI, CAT",83.86,16.77,25.55,0.0
Valley Forge Capital Management,5,"FICO, SPGI, MA, MCO, V",92.37,18.47,32.29,0.0
Li Lu - Himalaya Capital Management,5,"BAC, BRK.B, GOOGL, GOOG, EWBC",94.08,18.82,26.12,0.0
Nelson Peltz - Trian Fund Management,5,"JHG, GE, SOLV, WEN, IVZ",90.98,18.2,30.84,0.0
Mairs & Power Growth Fund,5,"MSFT, NVDA, AMZN, UNH, JPM",34.92,6.98,9.67,0.0
Howard Marks - Oaktree Capital Management,5,"TRMD, EXE, GTX, STR, AU",52.19,10.44,16.39,0.0
Chase Coleman - Tiger Global Management,4,"META, MSFT, SE, GOOGL",38.85,9.71,16.18,0.0
Charles Bobrinskoy - Ariel Focus Fund,4,"SNA, SJM, BOKF, MHK",24.02,6.0,6.34,0.0
Yacktman Asset Management,4,"CNQ, MSFT, AMRK, CATO",55.24,13.81,21.74,0.0
