,manager,ticker,company,portfolio_pct,price,shares,position_value,cap_category,sector,gain_loss_pct
2407,Steven Romick - FPA Crescent Fund,AVGO,,55.21,167.43,0,0.0,Unknown,Technology,0
1542,Lee Ainslie - Maverick Capital,VRNA,,55.16,0.0,0,0.0,Unknown,Health Care,0
1627,Lee Ainslie - Maverick Capital,JBL,,55.08,0.0,0,0.0,Unknown,Information Technology,0
904,First Eagle Investment Management,DY,,54.65,0.0,0,0.0,Unknown,Information Technology,0
2933,Tweedy Browne Co. - Tweedy Browne Value Fund,ALGGF,,54.55,0.0,0,0.0,Unknown,Industrials,0
2983,Viking Global Investors,CVNA,,54.49,209.08,0,0.0,Unknown,Services,0
2348,Stephen Mandel - Lone Pine Capital,CVNA,,54.49,209.08,0,0.0,Unknown,Services,0
2309,Samantha McLemore - Patient Capital Management,CVNA,,54.49,209.08,0,0.0,Unknown,Services,0
2241,Robert Vinall - RV Capital GmbH,CVNA,,54.49,209.08,0,0.0,Unknown,Services,0
1927,Meridian Contrarian Fund,ZVIA,,54.17,0.0,0,0.0,Unknown,Consumer Goods,0
2467,Third Avenue Management,MYRG,,53.31,0.0,0,0.0,Unknown,Industrial Goods,0
2733,Tom Bancroft - Makaira Partners,DPZ,,53.07,459.45,0,0.0,Unknown,Services,0
1483,Kahn Brothers Group,IDT,,53.02,0.0,0,0.0,Unknown,Technology,0
401,Chuck Akre - Akre Capital Management,AMT,,52.95,217.6,0,0.0,Unknown,Technology,0
1915,Meridian Contrarian Fund,ATZ.TO,,52.83,0.0,0,0.0,Unknown,Consumer Cyclical,0
1631,Lee Ainslie - Maverick Capital,W,,52.58,0.0,0,0.0,Unknown,Services,0
2741,Tom Bancroft - Makaira Partners,SVV,,52.46,6.9,0,0.0,Unknown,Consumer Cyclical,0
3052,Viking Global Investors,RLYB,,52.31,0.0,0,0.0,Unknown,Health Care,0
2627,Thomas Gayner - Markel Group,CABO,,52.02,0.0,0,0.0,Unknown,Technology,0
310,Christopher Davis - Davis Advisors,TSN,,51.9,63.81,0,0.0,Unknown,Consumer Staples,0
658,David Tepper - Appaloosa Management,AVGO,,51.57,167.43,0,0.0,Unknown,Technology,0
1231,Hillman Value Fund,T,,51.42,27.79,0,0.0,Unknown,Communication Services,0
707,Dodge & Cox,HLNCF,,51.41,0.0,0,0.0,Unknown,Health Care,0
2737,Tom Bancroft - Makaira Partners,KMX,,51.34,78.52,0,0.0,Unknown,Consumer Discretionary,0
3044,Viking Global Investors,DNA,,51.23,0.0,0,0.0,Unknown,Health Care,0
2681,Thomas Russo - Gardner Russo & Quinn,DVDCF,,50.77,0.0,0,0.0,Unknown,Consumer Goods,0
1738,Leon Cooperman,MP,,50.14,0.0,0,0.0,Unknown,Materials,0
183,Charles Bobrinskoy - Ariel Focus Fund,ORCL,,50.06,139.81,0,0.0,Unknown,Information Technology,0
1794,Lindsell Train,ORCL,,50.06,139.81,0,0.0,Unknown,Information Technology,0
3195,Yacktman Asset Management,ORCL,,50.04,139.81,0,0.0,Unknown,Information Technology,0
1340,Jensen Investment Management,ORCL,,50.04,139.81,0,0.0,Unknown,Information Technology,0
346,Christopher Davis - Davis Advisors,ORCL,,50.04,139.81,0,0.0,Unknown,Information Technology,0
3076,Wallace Weitz - Weitz Large Cap Equity Fund,ORCL,,50.04,139.81,0,0.0,Unknown,Information Technology,0
3152,William Von Mueffling - Cantillon Capital Management,ORCL,,50.04,139.81,0,0.0,Unknown,Information Technology,0
449,Daniel Loeb - Third Point,HTZWW,,50.0,2.26,0,0.0,Unknown,Unknown,0
2709,Thomas Russo - Gardner Russo & Quinn,ORCL,,49.99,139.81,0,0.0,Unknown,Information Technology,0
1549,Lee Ainslie - Maverick Capital,SNOW,,49.9,0.0,0,0.0,Unknown,Technology,0
